,API Well Number,County Code,API Hole Number,Sidetrack,Completion,Well Name,Company Name,Operator Number,Well Type,Map Symbol,Well Status ,Status Date,Permit Application Date,Permit Issued Date,Date Spudded,Date of Total Depth,Date Well Completed,Date Well Plugged,Date Well Confidentiality Ends,Confidentiality Code,Town,Quad,Quad Section,Producing Field,Producing Formation,Financial Security,Slant,County,Region,State Lease,"Proposed Depth, ft",Surface Longitude,Surface Latitude,Bottom Hole Longitude,Bottom Hole Latitude,"True Vertical Depth, ft","Measured Depth, ft","Kickoff, ft","Drilled Depth, ft","Elevation, ft",Original Well Type,Permit Fee,Objective Formation,Depth Fee,Spacing,Spacing Acres,Integration,Hearing Date,Date Last Modified,DEC Database Link,Location 1,json
count,42045.0,42045.0,42045.0,42045.0,42045.0,42045,42045,42045.0,42045,42045,42045,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045,42045,42045,42045,42045,42045.0,42045,42045,42045,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045.0,42045,42045,42045.0,0
unique,,,,,,39087,2238,,20,12,23,10032.0,5867.0,5781.0,11980.0,9905.0,12479.0,9150.0,3899.0,6,505,415,13,354,83.0,3,4,57,,9.0,,,,,,,,,,,19,,67.0,,9.0,,5.0,76.0,3223,42045,39932.0,0
top,,,,,,Voided Permit,Bradley Producing Corp.,,OD,OWP,PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pre-1989 Well (N/A),Allegany,Knapp Creek,G,Richburg,0.0,False,Vertical,Allegany,,0.0,,,,,,,,,,,NL,,0.0,,0.0,,0.0,0.0,2004-01-05T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003608650000'},0.0,
freq,,,,,,338,2212,,16151,9344,19376,17823.0,24387.0,24414.0,22465.0,25829.0,19983.0,25321.0,35030.0,33507,4441,5374,5879,8447,10115.0,28214,41289,13028,,41607.0,,,,,,,,,,,34608,,28694.0,,37028.0,,37690.0,41760.0,2252,1,1216.0,
mean,31023520204916.824,23.218337495540492,30186.742062076348,0.006397907004400048,0.018052087049589726,,,1876.6833392793435,,,,,,,,,,,,,,,,,,,,,8.721798073492687,,1031.010916874777,-75.99697582092995,41.02794440977524,-75.77872920677845,40.90973153335712,1578.0576287311214,1601.5293851825425,67.59165180164109,1543.1995243191818,838.801545962659,,492.00815131406824,,465.0310315138542,,5.075850755143299,,,,,,
std,32381511706.437332,32.436375249042726,23039.009910072535,0.09522904042980301,0.1472238958514851,,,2608.1349568866463,,,,,,,,,,,,,,,,,,,,,0.8217744778219175,,1657.66681317013,13.142884227522694,7.088476069835225,13.743655183360008,7.41305232473054,1506.9813988658188,1592.6862256425024,688.2963178322386,1404.8645765961217,812.094123913621,,44391.70900714697,,44390.922373587244,,47.141958541730986,,,,,,
min,31001010720000.0,1.0,5.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,-79.7616,0.0,-79.7616,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,
5%,31003080592000.0,3.0,2439.2000000000003,0.0,0.0,,,24.0,,,,,,,,,,,,,,,,,,,,,7.0,,0.0,-79.41641440000001,42.001692000000006,-79.41641440000001,42.0013,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,
10%,31003217788000.0,3.0,4630.400000000001,0.0,0.0,,,29.0,,,,,,,,,,,,,,,,,,,,,8.0,,0.0,-79.2508264,42.008958,-79.2508264,42.00859,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,
20%,31003555634000.0,3.0,9021.800000000001,0.0,0.0,,,100.0,,,,,,,,,,,,,,,,,,,,,9.0,,0.0,-78.85512199999998,42.02839,-78.85519199999999,42.02798,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,
30%,31003685582000.0,3.0,13349.199999999999,0.0,0.0,,,250.0,,,,,,,,,,,,,,,,,,,,,9.0,,0.0,-78.58584,42.0482,-78.58584799999998,42.04754,829.0,832.0,0.0,831.0,0.0,,0.0,,0.0,,0.0,,,,,,
40%,31009192786000.0,9.0,17694.600000000002,0.0,0.0,,,693.0,,,,,,,,,,,,,,,,,,,,,9.0,,0.0,-78.49868799999999,42.073836,-78.49882600000001,42.073325999999994,1160.0,1162.0,0.0,1160.0,0.0,,0.0,,0.0,,0.0,,,,,,
50%,31009629490000.0,9.0,21876.0,0.0,0.0,,,1124.0,,,,,,,,,,,,,,,,,,,,,9.0,,0.0,-78.24405,42.08802,-78.24413,42.087761,1331.0,1333.0,0.0,1330.0,775.0,,0.0,,0.0,,0.0,,,,,,
60%,31013105986000.0,13.0,25643.0,0.0,0.0,,,1527.0,,,,,,,,,,,,,,,,,,,,,9.0,,0.0,-78.13366199999999,42.134018000000005,-78.133596,42.133750000000006,1549.0,1550.0,0.0,1543.0,1172.0,,0.0,,0.0,,0.0,,,,,,
70%,31013220978000.0,13.0,51795.8,0.0,0.0,,,2244.0,,,,,,,,,,,,,,,,,,,,,9.0,,1485.7999999999993,-78.04849,42.287162,-78.04709399999999,42.28686999999999,1864.7999999999993,1870.0,0.0,1855.0,1470.0,,0.0,,0.0,,0.0,,,,,,
80%,31029208592000.0,29.0,60406.200000000004,0.0,0.0,,,2544.0,,,,,,,,,,,,,,,,,,,,,9.0,,2055.0,-77.81295199999998,42.513239,-77.80750299999998,42.513145200000004,2478.0,2487.0,0.0,2446.0,1673.0,,670.0,,570.0,,0.0,,,,,,
90%,31097529146000.0,97.0,65310.6,0.0,0.0,,,2869.0,,,,,,,,,,,,,,,,,,,,,9.0,,3640.0,-76.906933,42.8116036,-76.89482499999998,42.8113876,3730.0,3760.0,0.0,3675.5999999999985,2020.0,,1050.0,,950.0,,0.0,,,,,,
max,31123615210000.0,123.0,90001.0,4.0,4.0,,,9999.0,,,,,,,,,,,,,,,,,,,,,9.0,,13450.0,0.0,44.719337,0.0,44.719337,13500.0,15921.0,11800.0,15795.0,3500.0,,9101976.0,,9101876.0,,691.78,,,,,,
